match_id,season,team,player,runs,balls_faced,fours,sixes,strike_rate,wickets,balls_bowled,runs_conceded,overs_display,overs_math,economy
1082593,10,kkr,YK Pathan,0,0,0,0,0.0,0,6,15,1.0,1.0,15.0
1082593,10,kkr,SA Yadav,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082593,10,kkr,CR Woakes,0,0,0,0,0.0,0,18,35,3.0,3.0,11.67
1082593,10,kkr,PP Chawla,0,0,0,0,0.0,1,24,33,4.0,4.0,8.25
1082593,10,kkr,Kuldeep Yadav,0,0,0,0,0.0,2,24,25,4.0,4.0,6.25
1082593,10,kkr,SP Narine,0,0,0,0,0.0,0,24,33,4.0,4.0,8.25
1082593,10,kkr,TA Boult,0,0,0,0,0.0,1,24,40,4.0,4.0,10.0
1082594,10,pk,HM Amla,28,27,2,1,103.7,0,0,0,0.0,0.0,0.0
1082594,10,pk,M Vohra,14,9,1,1,155.56,0,0,0,0.0,0.0,0.0
1082594,10,pk,WP Saha,14,9,3,0,155.56,0,0,0,0.0,0.0,0.0
1082594,10,pk,AR Patel,24,22,1,1,109.09,1,24,27,4.0,4.0,6.75
1082594,10,pk,GJ Maxwell,44,20,3,4,220.0,0,0,0,0.0,0.0,0.0
1082594,10,pk,DA Miller,30,27,1,2,111.11,0,0,0,0.0,0.0,0.0
1082594,10,pk,MP Stoinis,0,0,0,0,0.0,1,18,28,3.0,3.0,9.33
1082594,10,pk,Swapnil Singh,0,0,0,0,0.0,1,12,14,2.0,2.0,7.0
1082594,10,pk,MM Sharma,0,0,0,0,0.0,0,24,34,4.0,4.0,8.5
1082594,10,pk,Sandeep Sharma,0,0,0,0,0.0,2,24,33,4.0,4.0,8.25
1082594,10,pk,T Natarajan,0,0,0,0,0.0,1,18,26,3.0,3.0,8.67
1082594,10,rps,AM Rahane,19,15,1,1,126.67,0,0,0,0.0,0.0,0.0
1082594,10,rps,MA Agarwal,0,4,0,0,0.0,0,0,0,0.0,0.0,0.0
1082594,10,rps,SPD Smith,26,27,3,0,96.3,0,0,0,0.0,0.0,0.0
1082594,10,rps,BA Stokes,50,32,2,3,156.25,0,24,32,4.0,4.0,8.0
1082594,10,rps,MS Dhoni,5,11,0,0,45.45,0,0,0,0.0,0.0,0.0
1082594,10,rps,MK Tiwary,40,23,3,2,173.91,0,0,0,0.0,0.0,0.0
1082594,10,rps,DT Christian,17,8,2,1,212.5,0,12,24,2.0,2.0,12.0
1082594,10,rps,R Bhatia,0,0,0,0,0.0,0,12,20,2.0,2.0,10.0
1082594,10,rps,RD Chahar,0,0,0,0,0.0,1,24,32,4.0,4.0,8.0
1082594,10,rps,Imran Tahir,0,0,0,0,0.0,2,24,29,4.0,4.0,7.25
1082594,10,rps,AB Dinda,0,0,0,0,0.0,1,18,26,3.0,3.0,8.67
1082595,10,rcb,CH Gayle,6,8,1,0,75.0,0,0,0,0.0,0.0,0.0
1082595,10,rcb,SR Watson,24,24,4,0,100.0,1,24,21,4.0,4.0,5.25
1082595,10,rcb,Mandeep Singh,12,10,3,0,120.0,0,0,0,0.0,0.0,0.0
1082595,10,rcb,KM Jadhav,69,37,5,5,186.49,0,0,0,0.0,0.0,0.0
1082595,10,rcb,STR Binny,16,18,1,0,88.89,0,0,0,0.0,0.0,0.0
1082595,10,rcb,Vishnu Vinod,9,5,0,1,180.0,0,0,0,0.0,0.0,0.0
1082595,10,rcb,P Negi,10,8,0,1,125.0,2,6,3,1.0,1.0,3.0
1082595,10,rcb,Iqbal Abdulla,5,7,0,0,71.43,2,18,36,3.0,3.0,12.0
1082595,10,rcb,TS Mills,0,3,0,0,0.0,1,24,33,4.0,4.0,8.25
1082595,10,rcb,YS Chahal,0,0,0,0,0.0,1,24,19,4.0,4.0,4.75
1082595,10,rcb,B Stanlake,0,0,0,0,0.0,2,24,29,4.0,4.0,7.25
1082595,10,dc,AP Tare,18,17,3,0,105.88,0,0,0,0.0,0.0,0.0
1082595,10,dc,SW Billings,25,19,1,1,131.58,0,0,0,0.0,0.0,0.0
1082595,10,dc,KK Nair,4,3,1,0,133.33,0,0,0,0.0,0.0,0.0
1082595,10,dc,SV Samson,13,12,1,0,108.33,0,0,0,0.0,0.0,0.0
1082595,10,dc,RR Pant,57,36,3,4,158.33,0,0,0,0.0,0.0,0.0
1082595,10,dc,CH Morris,4,5,0,0,80.0,3,24,21,4.0,4.0,5.25
1082595,10,dc,CR Brathwaite,1,5,0,0,20.0,0,12,29,2.0,2.0,14.5
1082595,10,dc,PJ Cummins,6,6,1,0,100.0,1,24,29,4.0,4.0,7.25
1082595,10,dc,A Mishra,8,14,0,0,57.14,0,12,32,2.0,2.0,16.0
1082595,10,dc,S Nadeem,0,2,0,0,0.0,1,24,13,4.0,4.0,3.25
1082595,10,dc,Z Khan,1,1,0,0,100.0,2,24,31,4.0,4.0,7.75
1082596,10,gl,JJ Roy,31,21,5,0,147.62,0,0,0,0.0,0.0,0.0
1082596,10,gl,BB McCullum,5,10,0,0,50.0,0,0,0,0.0,0.0,0.0
1082596,10,gl,SK Raina,5,8,0,0,62.5,0,12,24,2.0,2.0,12.0
1082596,10,gl,AJ Finch,3,5,0,0,60.0,0,0,0,0.0,0.0,0.0
1082596,10,gl,KD Karthik,30,32,2,0,93.75,0,0,0,0.0,0.0,0.0
1082596,10,gl,DR Smith,37,27,4,1,137.04,0,0,0,0.0,0.0,0.0
1082596,10,gl,DS Kulkarni,1,2,0,0,50.0,0,12,17,2.0,2.0,8.5
1082596,10,gl,P Kumar,7,7,0,0,100.0,1,12,16,2.0,2.0,8.0
1082596,10,gl,Basil Thampi,13,8,0,1,162.5,0,12,21,2.0,2.0,10.5
1082596,10,gl,Tejas Baroka,0,0,0,0,0.0,0,21,33,3.3,3.5,9.43
1082596,10,gl,S Kaushik,0,0,0,0,0.0,0,24,29,4.0,4.0,7.25
1082596,10,srh,DA Warner,76,45,6,4,168.89,0,0,0,0.0,0.0,0.0
1082596,10,srh,S Dhawan,9,9,0,1,100.0,0,0,0,0.0,0.0,0.0
1082596,10,srh,MC Henriques,52,39,6,0,133.33,0,6,12,1.0,1.0,12.0
1082596,10,srh,Yuvraj Singh,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082596,10,srh,DJ Hooda,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082596,10,srh,BCJ Cutting,0,0,0,0,0.0,0,18,29,3.0,3.0,9.67
